Date,Close,High,Low,Open,Volume,Ticker
2023-04-11,158.5037078857422,160.04142798920654,158.21784079111364,160.0315762083488,47644200,AAPL
2023-04-12,157.81373596191406,159.7457382241708,157.49829842634344,158.9177372546322,50133100,AAPL
2023-04-13,163.1957550048828,163.4323331532267,159.11487595150933,159.32188371142138,68445600,AAPL
2023-04-14,162.85076904296875,163.94491858408577,161.48061917083933,162.23961256067847,49386500,AAPL
2023-04-17,162.8704833984375,163.02820218114718,161.6876226098968,162.73248322378927,41516200,AAPL
2023-04-18,164.09280395507812,165.01938312972754,163.2845063632714,163.7280923807177,49923000,AAPL
2023-04-19,165.2362060546875,165.7586363174907,163.17604035173306,163.43233711220313,47720200,AAPL
2023-04-20,164.27020263671875,165.47278202514906,163.19577163848064,163.71820194187683,52456400,AAPL
2023-04-21,162.66351318359375,164.07308551692935,162.141082804298,162.69308357933554,58337300,AAPL
2023-04-24,162.9690704345703,163.2352190150396,161.54963139325648,162.64378106752824,41949600,AAPL
2023-04-25,161.4313201904297,163.93504162144998,161.3918829793584,162.83104036567903,48714100,AAPL
2023-04-26,161.42147827148438,162.91977666468185,160.47519563222698,160.73147738017352,45498800,AAPL
2023-04-27,166.00506591796875,166.1529178634098,162.83104713478986,162.83104713478986,64902300,AAPL
2023-04-28,167.25692749023438,167.424513091262,165.4826438930684,166.08393356927388,55275900,AAPL
2023-05-01,167.16818237304688,168.01590182570695,166.23175176672046,166.86261170538234,52472900,AAPL
2023-05-02,166.13319396972656,167.91735928630777,165.14747425578494,167.6610625345139,48425700,AAPL
2023-05-03,165.05877685546875,168.47922575134587,164.77292473257992,167.07950544573387,65136000,AAPL
2023-05-04,163.4224853515625,164.6546351492701,161.9636242025262,162.53534351356944,81235400,AAPL
2023-05-05,171.09136962890625,171.81094077356033,168.32148473339686,168.5383442631647,113453200,AAPL
2023-05-08,171.02236938476562,171.3673772990156,169.65221959190652,170.01693107088172,55962800,AAPL
2023-05-09,169.31710815429688,171.06182151405454,169.14953757945023,170.5788283985824,45326900,AAPL
2023-05-10,171.0814971923828,171.5447866234223,169.44519899087683,170.54921520825656,53724500,AAPL
2023-05-11,171.268798828125,172.09679977091955,169.71135988855104,171.3673768150292,49514700,AAPL
2023-05-12,170.3409423828125,171.8116866019269,168.79121464447562,171.3773676163626,45533100,AAPL
2023-05-15,169.84738159179688,170.97265562623798,169.25512575822094,170.92329846315806,37266700,AAPL
2023-05-16,169.84738159179688,170.9035525855878,169.58086496051854,169.7684131432073,42110300,AAPL
2023-05-17,170.45941162109375,170.69630196545663,168.21872838992437,169.4920742376562,57951600,AAPL
2023-05-18,172.78892517089844,172.97647339745131,170.35082834910114,170.76540150488879,65496700,AAPL
2023-05-19,172.8974609375,174.11156880350413,172.6803014737671,174.11156880350413,55809500,AAPL
2023-05-22,171.94992065429688,172.45334281427654,171.20960812415922,171.7327611071874,43570900,AAPL
2023-05-23,169.343994140625,171.140492823502,169.06761204505847,170.89372201948225,50747300,AAPL
2023-05-24,169.6204071044922,170.1929172814093,168.3174648542338,168.88009455770754,45143500,AAPL
2023-05-25,170.75550842285156,171.65374258398057,169.47229739906246,170.18299842572435,56058300,AAPL
2023-05-26,173.1639862060547,173.49960591702484,170.87396117733175,171.08125526170468,54835000,AAPL
2023-05-30,175.00987243652344,176.6780456265802,174.28930584342234,174.6742677286896,55964400,AAPL
2023-05-31,174.96051025390625,177.03339115324283,174.47683402760893,175.03947872320146,99625300,AAPL
2023-06-01,177.76380920410156,177.79342049505456,174.64462268903534,175.40468096744894,68901800,AAPL
2023-06-02,178.6127166748047,179.43199760539318,176.94454352013497,178.69168514468382,61996900,AAPL
2023-06-05,177.2604217529297,182.5610542820425,175.7403050283916,180.27102884609,121946500,AAPL
2023-06-06,176.8951873779297,177.79342164547316,175.13816542041533,177.64536518975015,64848400,AAPL
2023-06-07,175.52313232421875,178.8693435880805,175.0295907510138,176.13511905525095,61944600,AAPL
2023-06-08,178.23760986328125,178.50411146672758,175.16778069465795,175.60208462454239,50214900,AAPL
2023-06-09,178.62258911132812,179.87617397731293,178.2968498358667,179.1556074319137,48900000,AAPL
2023-06-12,181.416015625,181.51472997018058,178.63244881890137,178.92857679274874,54274900,AAPL
2023-06-13,180.9422149658203,181.7713612206094,180.08345742062403,180.4388079672042,54929100,AAPL
2023-06-14,181.57391357421875,182.00823250106723,179.66885062708653,181.00140363079947,57462900,AAPL
2023-06-15,183.6073455810547,184.11076766616947,181.4061542027307,181.5838370156226,65433200,AAPL
2023-06-16,182.5314178466797,184.57468723659963,181.88981981135748,184.31803597311566,101256200,AAPL
2023-06-20,182.6202392578125,183.69617128575536,182.0279984336963,182.0279984336963,49799100,AAPL
2023-06-21,181.58383178710938,183.015099412311,180.23151756348105,182.51167734169172,49515700,AAPL
